employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
Cygnus Home Services LLC. (San Angelo),CYGNUS HOME (SAN ANGELO),San Angelo,Tom Green,TX,2023-10-26,2023-12-15,5,,https://data.texas.gov/d/8w53-c4f6
Cygnus Home Services LLC. (Schertz),CYGNUS HOME (SCHERTZ),Schertz,Bexar,TX,2023-10-26,2023-12-15,6,,https://data.texas.gov/d/8w53-c4f6
Cygnus Home Services LLC. (Sherman),CYGNUS HOME (SHERMAN),Sherman,Grayson,TX,2023-10-26,2023-12-15,7,,https://data.texas.gov/d/8w53-c4f6
Cygnus Home Services LLC. (Waco),CYGNUS HOME (WACO),Waco,McLennan,TX,2023-10-26,2023-12-15,6,,https://data.texas.gov/d/8w53-c4f6
MV-Transportation Austin (North Yard),MV-TRANSPORTATION AUSTIN (NORTH YARD),Austin,Travis,TX,2023-10-25,2023-12-31,400,,https://data.texas.gov/d/8w53-c4f6
MV- Transportation Austin (South Yard),MV- TRANSPORTATION AUSTIN (SOUTH YARD),Austin,Travis,TX,2023-10-25,2023-12-31,778,,https://data.texas.gov/d/8w53-c4f6
Yelloh - Salem,YELLOH - SALEM,Salem,,OR,2023-10-25,2023-12-15,7,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Yelloh - Tualitin,YELLOH - TUALITIN,Tualitin,,OR,2023-10-25,2023-12-15,11,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Yelloh -  Central Point,YELLOH - CENTRAL POINT,Central Point,,OR,2023-10-25,2023-12-15,6,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Yelloh - Eugene,YELLOH - EUGENE,Eugen,,OR,2023-10-25,2023-12-15,8,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Cygnus Home Service,CYGNUS HOME SERVICE,Bedford VA,,VA,2023-10-25,,9,Closure,https://www.vec.virginia.gov/warn-notices
Cygnus Home Service,CYGNUS HOME SERVICE,Culpeper VA,,VA,2023-10-25,,7,Closure,https://www.vec.virginia.gov/warn-notices
Cygnus Home Service,CYGNUS HOME SERVICE,Manassas VA,,VA,2023-10-25,,5,Closure,https://www.vec.virginia.gov/warn-notices
